asset_id,attribute_count,attribute_count_rarity_score,Type_attribute,Type_rarity_score,Hair_attribute,Hair_rarity_score,Clothing_attribute,Clothing_rarity_score,Eyes_attribute,Eyes_rarity_score,Mouth_attribute,Mouth_rarity_score,Offhand_attribute,Offhand_rarity_score,Background_attribute,Background_rarity_score,Ear_attribute,Ear_rarity_score,Headgear_attribute,Headgear_rarity_score,Neck_attribute,Neck_rarity_score,Face_attribute,Face_rarity_score,Special_attribute,Special_rarity_score,overall_rarity_score
11,7,0.12389380530973451,Human,0.04346861831891772,Orange Swept Back,4.355555555555555,White Hoodie,3.5963302752293576,Pensive,1.2173913043478262,Wheat Straw,1.1495601173020527,Golden Hook Sword,28.0,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,36.2782269378508
12,7,0.12389380530973451,Human,0.04346861831891772,Blonde Swept Back,4.0,Black Yukata,1.8937198067632852,Suspicious,1.2564102564102564,Relaxed,0.47002398081534774,Sakura Katana,0.9137529137529137,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.512408741687952
13,7,0.12389380530973451,Human,0.04346861831891772,Teal Long,3.8058252427184467,Light Kimono,1.2604501607717042,Tired,1.0566037735849056,Not Bad,0.9423076923076923,Bat,1.0,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.0436886533289
14,8,0.10897970530998052,Human,0.04346861831891772,Blonde Bob,4.8999999999999995,Light Kimono,1.2604501607717042,Closed,0.25274016763378465,Smile,1.0566037735849056,Guitar,3.136,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Red Fang Face Paint,1.462686567164179,,-1.6540084388185654,10.152062003328815
15,8,0.10897970530998052,Human,0.04346861831891772,Purple Bun,3.62962962962963,Hoodie,2.6486486486486487,Ruby,1.0288713910761154,Grin,1.1136363636363635,Banner,0.8990825688073394,Off White C,0.199796126401631,,-0.2747021723896286,,-0.12661498708010335,Choker,2.6486486486486487,,-0.1391057487579844,,-1.6540084388185654,10.126330353430994
16,9,0.21503017004936914,Human,0.04346861831891772,Braids,12.250000000000002,Black Perfecto Jacket,11.2,Closed,0.25274016763378465,420,2.3902439024390243,Boombox,2.76056338028169,Red,0.38966202783300197,Small Hoop,4.839506172839506,Distressed Beanie,2.4499999999999997,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,34.78757393602928
17,7,0.12389380530973451,Human,0.04346861831891772,Silver Disheveled,4.454545454545454,Denim Jacket,4.780487804878049,Pierced Eyebrow,1.356401384083045,Wheat Straw,1.1495601173020527,Bokken,2.8613138686131383,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,12.561698314837752
18,9,0.21503017004936914,Human,0.04346861831891772,Black Disheveled,3.408695652173913,Red Kimono,4.126315789473685,Determined,0.5283018867924528,Closed,0.48275862068965514,Lantern,0.9727047146401985,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,Chain,2.074074074074074,Blue Sunglasses,2.6133333333333333,,-1.6540084388185654,12.606342185880418
19,10,0.7340823970037453,Human,0.04346861831891772,Silver Bun,4.3076923076923075,Red Qipao with Fur,4.780487804878049,Determined,0.5283018867924528,Smoking,0.9491525423728814,Floorsweeper,1.462686567164179,Red,0.38966202783300197,Red Cylinder,14.51851851851852,,-0.12661498708010335,Tribal Tattoo,1.9405940594059408,Red Fang Face Paint,1.462686567164179,,-1.6540084388185654,29.33670987124551
20,7,0.12389380530973451,Human,0.04346861831891772,Blue Half Bun,3.769230769230769,Camo Hoodie,4.8999999999999995,Bored,1.187878787878788,Smirk,0.5399449035812672,Zanbato,1.3333333333333333,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.68977747944017
21,7,0.12389380530973451,Human,0.04346861831891772,Powder Blue Swept Back,4.666666666666667,Green Yukata,1.8846153846153846,Tired,1.0566037735849056,Tactical Knife,2.6666666666666665,,-0.06084122303274872,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,Zen Headphones,1.8232558139534885,,-0.1391057487579844,,-1.6540084388185654,10.232878818877461
22,8,0.10897970530998052,Human,0.04346861831891772,Blue Short Spiky,3.294117647058824,Azuki Tech Jacket,1.9698492462311556,Indifferent,1.104225352112676,Relaxed,0.47002398081534774,Leather Katana,0.9468599033816426,Off White B,0.2229806598407281,,-0.2747021723896286,Chef Headband,2.496815286624204,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.378977723937822
23,7,0.12389380530973451,Human,0.04346861831891772,Black Hairband,5.090909090909091,Black Qipao,3.1111111111111107,Amethyst,1.0155440414507773,Whistling,1.328813559322034,Hand Seal,3.2396694214876036,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.938114012906514
24,8,0.10897970530998052,Human,0.04346861831891772,Maroon Bun,2.6133333333333333,Turquoise Kimono,1.8846153846153846,Joyful,1.0181818181818183,Frown,1.0798898071625345,Banner,0.8990825688073394,Off White C,0.199796126401631,,-0.2747021723896286,Pointy Straw Hat,3.1111111111111107,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.680115797486398
25,8,0.10897970530998052,Human,0.04346861831891772,Maroon Half Bun,3.8058252427184467,Cloud Poncho,9.333333333333334,Closed,0.25274016763378465,Closed,0.48275862068965514,Lantern,0.9727047146401985,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,Zen Headphones,1.8232558139534885,,-0.1391057487579844,,-1.6540084388185654,14.851615529392252
26,7,0.12389380530973451,Human,0.04346861831891772,Blue Half Bun,3.769230769230769,Blue Qipao,3.35042735042735,Striking,0.9607843137254901,Smile,1.0566037735849056,Shuriken,2.5620915032679736,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.677639494182639
27,7,0.12389380530973451,Human,0.04346861831891772,Brown Blonde Flowy,11.529411764705882,Black Qipao,3.1111111111111107,Closed,0.25274016763378465,Lipstick,0.9607843137254901,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Sleep Mask,2.118918918918919,,-1.6540084388185654,16.010620487236434
28,6,0.47285886610373945,Human,0.04346861831891772,Brown Messy,4.454545454545454,Black Yukata,1.8937198067632852,Determined,0.5283018867924528,Smoking,0.9491525423728814,,-0.06084122303274872,Cool Gray,0.8115942028985507,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.687842491926776
29,8,0.10897970530998052,Human,0.04346861831891772,Silver Disheveled,4.454545454545454,Kimono with Jacket,3.3793103448275863,Indifferent,1.104225352112676,Closed,0.48275862068965514,Floorsweeper,1.462686567164179,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Reading Glasses,2.1420765027322406,,-1.6540084388185654,11.135179911463645
30,8,0.10897970530998052,Human,0.04346861831891772,Brown Disheveled,3.469026548672566,Azuki Sweater,3.0387596899224807,Bored,1.187878787878788,Relaxed,0.47002398081534774,Banner,0.8990825688073394,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Red Stripes Face Paint,1.3517241379310345,,-1.6540084388185654,8.52607278341941
31,7,0.12389380530973451,Human,0.04346861831891772,Brown Blonde Flowy,11.529411764705882,Blue Qipao,3.35042735042735,Closed,0.25274016763378465,Smirk,0.5399449035812672,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,Koi Tattoo,1.5806451612903225,,-0.1391057487579844,,-1.6540084388185654,15.362244125811348
32,7,0.12389380530973451,Human,0.04346861831891772,Blue Nightshade Flowy,11.878787878787879,Red Hoodie,2.3333333333333335,Relaxed,1.1563421828908556,Relaxed,0.47002398081534774,,-0.06084122303274872,Off White C,0.199796126401631,,-0.2747021723896286,Black Bucket Hat,2.9473684210526314,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,16.81383044812193
33,7,0.12389380530973451,Human,0.04346861831891772,Teal Hairband,3.663551401869159,Red Floral Kimono,2.1538461538461537,Closed,0.25274016763378465,Face Mask,2.0310880829015545,,-0.06084122303274872,Off White A,0.21609702315325247,Corded Earbuds,2.3902439024390243,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.683832441992704
34,8,0.10897970530998052,Human,0.04346861831891772,Orange Short Spiky,3.35042735042735,Dress Shirt,2.529032258064516,Chill,1.0,Grass,1.005128205128205,Banner,0.8990825688073394,Off White D,0.19698492462311556,,-0.2747021723896286,Sloth Headband,5.0256410256410255,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.880401980564796
35,7,0.12389380530973451,Human,0.04346861831891772,Orange Samurai,4.0,Maroon Yukata,1.7737556561085972,Tired,1.0566037735849056,Relaxed,0.47002398081534774,,-0.06084122303274872,Off White B,0.2229806598407281,Chill,4.780487804878049,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,10.280117585377404
36,9,0.21503017004936914,Human,0.04346861831891772,Buzzcut,3.408695652173913,Black Kimono,3.0387596899224807,Indifferent,1.104225352112676,Closed,0.48275862068965514,Boombox,2.76056338028169,Cool Gray,0.8115942028985507,,-0.2747021723896286,IKZ Baseball Cap,1.479245283018868,,-0.21052631578947367,Black Glasses,2.01025641025641,,-1.6540084388185654,13.215360452724862
37,7,0.12389380530973451,Human,0.04346861831891772,Pink Bangs,7.686274509803921,White Hoodie,3.5963302752293576,Ruby,1.0288713910761154,Tongue Out,1.9405940594059408,Floorsweeper,1.462686567164179,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,13.693258586625664
38,7,0.12389380530973451,Human,0.04346861831891772,Indigo Bangs,4.666666666666667,Camo Tech Jacket,4.8999999999999995,Joyful,1.0181818181818183,Smirk,0.5399449035812672,Katana,0.8929384965831435,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.996233668959045
39,7,0.12389380530973451,Human,0.04346861831891772,Pink Flowy,4.505747126436781,Light Armor,2.76056338028169,Closed,0.25274016763378465,Tongue Out,1.9405940594059408,Leather Katana,0.9468599033816426,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.38500642108599
40,8,0.10897970530998052,Human,0.04346861831891772,Brown Long,2.925373134328358,Straw Poncho,9.560975609756097,Tired,1.0566037735849056,Long Stubble,4.126315789473685,Lantern,0.9727047146401985,Cool Gray,0.8115942028985507,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,Fireflies,4.454545454545454,23.30961177883896
41,7,0.12389380530973451,Human,0.04346861831891772,Blonde Long,3.2666666666666666,Green Yukata,1.8846153846153846,Tired,1.0566037735849056,Grass,1.005128205128205,Bat,1.0,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.198399450628786
42,7,0.12389380530973451,Human,0.04346861831891772,Orange Pixie,3.92,Azuki Sweater,3.0387596899224807,Amethyst,1.0155440414507773,Smirk,0.5399449035812672,,-0.06084122303274872,Off White A,0.21609702315325247,,-0.2747021723896286,Backwards Cap,2.596026490066225,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.154550673014255
43,8,0.10897970530998052,Human,0.04346861831891772,Brown Blonde Flowy,11.529411764705882,Black Qipao,3.1111111111111107,Determined,0.5283018867924528,Laughing,1.0261780104712042,Bean Juice,1.3110367892976589,Off White B,0.2229806598407281,Stud,4.780487804878049,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,20.531700860279862
44,8,0.10897970530998052,Human,0.04346861831891772,Blonde Flowy,3.43859649122807,Turquoise Kimono,1.8846153846153846,Determined,0.5283018867924528,Frown,1.0798898071625345,Lantern,0.9727047146401985,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,Red Panda Headphones,7.84,,-0.1391057487579844,,-1.6540084388185654,13.899110185644375
45,7,0.12389380530973451,Human,0.04346861831891772,Purple Dreadlocks,9.560975609756097,Turquoise Kimono with Bow,2.202247191011236,Hopeful,1.0652173913043477,Laughing,1.0261780104712042,,-0.06084122303274872,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,Zen Headphones,1.8232558139534885,,-0.1391057487579844,,-1.6540084388185654,13.80606089319925
46,7,0.12389380530973451,Human,0.04346861831891772,Indigo Ponytail,3.43859649122807,Frog T-Shirt,4.170212765957447,Striking,0.9607843137254901,Tongue Out,1.9405940594059408,Hand Seal,3.2396694214876036,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.7283588357507
47,7,0.12389380530973451,Human,0.04346861831891772,Purple Spiky,3.408695652173913,Brown Yukata,3.663551401869159,Bored,1.187878787878788,Growl,1.0025575447570332,Skateboard,4.260869565217391,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.482942637312297
48,7,0.12389380530973451,Human,0.04346861831891772,Brown Samurai,4.0,Green Yukata,1.8846153846153846,Determined,0.5283018867924528,Scroll,2.265895953757225,,-0.06084122303274872,Off White C,0.199796126401631,,-0.2747021723896286,Straw Hat,3.35042735042735,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,10.057215226834293
49,7,0.12389380530973451,Human,0.04346861831891772,Maroon Disheveled,2.9473684210526314,Hoshi Jacket,3.2131147540983607,Careless,1.0288713910761154,Growl,1.0025575447570332,Shuriken,2.5620915032679736,Cool Gray,0.8115942028985507,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.328002577943561
50,7,0.12389380530973451,Human,0.04346861831891772,Indigo Bangs,4.666666666666667,Turquoise Kimono,1.8846153846153846,Determined,0.5283018867924528,Wheat Straw,1.1495601173020527,,-0.06084122303274872,Off White A,0.21609702315325247,,-0.2747021723896286,Full Bandana,2.1538461538461537,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.427265757216214
51,7,0.12389380530973451,Human,0.04346861831891772,Indigo Bangs,4.666666666666667,Black Ninja Top,3.2131147540983607,Relaxed,1.1563421828908556,Lipstick,0.9607843137254901,Sakura Katana,0.9137529137529137,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,9.062727619760185
52,7,0.12389380530973451,Human,0.04346861831891772,Blue Short Spiky,3.294117647058824,Yellow Jumpsuit,16.333333333333332,Careless,1.0288713910761154,Whistling,1.328813559322034,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,Red Panda Baseball Cap,5.297297297297297,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,25.307596677550972
53,8,0.10897970530998052,Human,0.04346861831891772,Brown Messy,4.454545454545454,Bloody Bomber,3.0625000000000004,Determined,0.5283018867924528,Chuckle,0.9537712895377128,Hand Wrap,3.2666666666666666,Off White C,0.199796126401631,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Blue Sunglasses,2.6133333333333333,,-1.6540084388185654,12.96551116682838
54,7,0.12389380530973451,Human,0.04346861831891772,Violet Flowy,4.041237113402062,Sloth Kimono,8.340425531914894,Calm,1.0425531914893618,Smile,1.0566037735849056,Guitar,3.136,Dark Blue,0.7480916030534351,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,16.127315974237558
55,7,0.12389380530973451,Human,0.04346861831891772,Brown Fluffy,7.538461538461538,Alpine Jacket,3.408695652173913,Indifferent,1.104225352112676,Smirk,0.5399449035812672,Boombox,2.76056338028169,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,13.503957615236983
56,8,0.10897970530998052,Human,0.04346861831891772,Black Disheveled,3.408695652173913,Black Hoodie,2.8613138686131383,Tired,1.0566037735849056,Face Mask,2.0310880829015545,Gloves,3.5315315315315314,Red,0.38966202783300197,,-0.2747021723896286,IKZ Baseball Cap,1.479245283018868,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,12.632245867530157
57,8,0.10897970530998052,Human,0.04346861831891772,Brown Ponytail,3.663551401869159,Light Kimono,1.2604501607717042,Pierced Eyebrow,1.356401384083045,Scroll,2.265895953757225,Katana,0.8929384965831435,Off White A,0.21609702315325247,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Black Glasses,2.01025641025641,,-1.6540084388185654,9.552187240025066
58,7,0.12389380530973451,Human,0.04346861831891772,Green Fluffy,6.426229508196721,Suit with Turtleneck,2.8823529411764706,Tired,1.0566037735849056,Smoking,0.9491525423728814,Guitar,3.136,Off White C,0.199796126401631,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,12.412539652525505
59,8,0.10897970530998052,Human,0.04346861831891772,Blonde Long,3.2666666666666666,White T-Shirt,2.3473053892215567,Closed,0.25274016763378465,Pout,0.9727047146401985,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,Backwards Cap,2.596026490066225,,-0.21052631578947367,Eye Patch,1.7422222222222221,,-1.6540084388185654,9.327020748672252
60,7,0.12389380530973451,Human,0.04346861831891772,Purple Spiky,3.408695652173913,Green Yukata,1.8846153846153846,Bored,1.187878787878788,Smoking,0.9491525423728814,Coin,1.3706293706293706,Off White C,0.199796126401631,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.763172624864866
61,9,0.21503017004936914,Human,0.04346861831891772,Green Samurai,3.92,Red Kimono,4.126315789473685,Closed,0.25274016763378465,Meh,1.0315789473684212,Banner,0.8990825688073394,Cool Gray,0.8115942028985507,,-0.2747021723896286,,-0.12661498708010335,Chain,2.074074074074074,Eye Patch,1.7422222222222221,,-1.6540084388185654,13.060781162558067
62,7,0.12389380530973451,Blue,0.8828828828828829,Silver Short Spiky,4.355555555555555,Blue Kimono,1.8490566037735847,Meditating,1.2327044025157234,Smirk,0.5399449035812672,Coin,1.3706293706293706,Off White C,0.199796126401631,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.149505987813994
63,7,0.12389380530973451,Human,0.04346861831891772,Magenta Flowy,3.563636363636364,Cat Kimono,5.764705882352941,Hopeful,1.0652173913043477,Closed,0.48275862068965514,Monk Staff,2.6849315068493147,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.546635185466247
64,6,0.47285886610373945,Human,0.04346861831891772,Orange Samurai,4.0,Black Hoodie,2.8613138686131383,Indifferent,1.104225352112676,Face Mask,2.0310880829015545,,-0.06084122303274872,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.436817930014522
65,6,0.47285886610373945,Human,0.04346861831891772,Black Swept Back,5.764705882352941,Cat Yukata,10.888888888888888,Determined,0.5283018867924528,Whistling,1.328813559322034,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,16.758223740533584
66,7,0.12389380530973451,Human,0.04346861831891772,Blonde Short Spiky,3.161290322580645,Green Yukata,1.8846153846153846,Meditating,1.2327044025157234,Not Bad,0.9423076923076923,Coin,1.3706293706293706,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.57693259328244
67,7,0.12389380530973451,Human,0.04346861831891772,Black Bangs,5.226666666666667,Tank Top with Jacket,3.35042735042735,Amethyst,1.0155440414507773,Lipstick,0.9607843137254901,Hand Wrap,3.2666666666666666,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,11.805474459570574
68,6,0.47285886610373945,Human,0.04346861831891772,Brown Ponytail,3.663551401869159,Yellow Bikini,4.170212765957447,Striking,0.9607843137254901,Grass,1.005128205128205,,-0.06084122303274872,Red,0.38966202783300197,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,8.239867313067455
69,7,0.12389380530973451,Human,0.04346861831891772,Brown Disheveled,3.469026548672566,Hawaiian Shirt,4.611764705882353,Indifferent,1.104225352112676,420,2.3902439024390243,Hand Seal,3.2396694214876036,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,12.800315351227848
70,8,0.10897970530998052,Human,0.04346861831891772,Teal Bun,3.5963302752293576,Red Floral Kimono,2.1538461538461537,Determined,0.5283018867924528,Lipstick,0.9607843137254901,Banner,0.8990825688073394,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,Tribal Tattoo,1.9405940594059408,,-0.1391057487579844,,-1.6540084388185654,8.259936894230078
71,7,0.12389380530973451,Human,0.04346861831891772,Indigo Disheveled,3.62962962962963,Brown Yukata,3.663551401869159,Focused,1.1597633136094674,Relaxed,0.47002398081534774,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,Towel,1.6680851063829787,,-0.1391057487579844,,-1.6540084388185654,8.70012821047932
72,7,0.12389380530973451,Human,0.04346861831891772,Blue Bun,3.663551401869159,Blue Kimono with Bow,2.5128205128205128,Determined,0.5283018867924528,Grass,1.005128205128205,Lantern,0.9727047146401985,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.6418964066665405
73,7,0.12389380530973451,Human,0.04346861831891772,Maroon Ponytail,2.76056338028169,Turquoise Kimono with Bow,2.202247191011236,Calm,1.0425531914893618,Frown,1.0798898071625345,,-0.06084122303274872,Off White D,0.19698492462311556,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,Red Stripes Face Paint,1.3517241379310345,,-1.6540084388185654,6.4746319190171056
74,7,0.12389380530973451,Human,0.04346861831891772,Indigo Disheveled,3.62962962962963,Black Kimono,3.0387596899224807,Determined,0.5283018867924528,Relaxed,0.47002398081534774,Lantern,0.9727047146401985,Off White B,0.2229806598407281,,-0.2747021723896286,,-0.12661498708010335,,-0.21052631578947367,,-0.1391057487579844,,-1.6540084388185654,6.624805322433732
