asset_id,attribute_count,attribute_count_rarity_score,Mouth_attribute,Mouth_rarity_score,Skin_attribute,Skin_rarity_score,Weapon_attribute,Weapon_rarity_score,Background_attribute,Background_rarity_score,Clothes_attribute,Clothes_rarity_score,Eyes_attribute,Eyes_rarity_score,Eyewear_attribute,Eyewear_rarity_score,Hair_attribute,Hair_rarity_score,Hat_attribute,Hat_rarity_score,KILLER_GF_attribute,KILLER_GF_rarity_score,overall_rarity_score
11,8,2.0179034769071094,Lip Bite Purple,31.108,Tanline,6.906749555950266,Sayanaura,50.830065359477125,Black Gradient,20.305483028720626,Red Mekanizer Armor,91.49411764705883,Light Blue Eyes,22.09375,,1.921195652173913,Dark Fade Hair,36.51173708920188,Red Mekanizer Hat,92.58333333333333,,1.000900900900901,356.77323604372395
12,8,2.0179034769071094,Red Lick,34.56444444444445,Dark,4.76824034334764,Quinn Bat,26.452380952380953,Crimson Hole,21.190735694822887,White Turtleneck,37.03333333333333,Heart Eyes,25.25,Black Glasses,22.47687861271676,Purple Ponytail,33.0936170212766,,1.8111318118304611,,1.000900900900901,209.65956659196107
13,7,3.5031531531531535,Red Lick,34.56444444444445,Bloody Light,11.59016393442623,Devil Wings,34.874439461883405,Black Gradient,20.305483028720626,Nyan Kitty,36.17209302325581,Devil Golden Eyes,52.19463087248322,,1.921195652173913,Pink Flowy Hair,41.588235294117645,,1.8111318118304611,,1.000900900900901,239.52587157738978
14,8,2.0179034769071094,O Smile,31.613821138211378,Light,3.2109826589595376,Chainsaw,18.34198113207547,Purple Gradient,15.774847870182557,Dark Heart Maid,39.47715736040609,Devil Golden Eyes,52.19463087248322,,1.921195652173913,Red Devil Braids,36.3411214953271,Black Hairband,31.108,,1.000900900900901,233.0025425576273
15,8,2.0179034769071094,One Side Grin,33.813043478260866,Light,3.2109826589595376,Katana,18.002314814814813,Crimson Hole,21.190735694822887,Quinn Dress,24.84664536741214,Closed,18.17056074766355,,1.921195652173913,Dreadlock Hair,119.64615384615384,Red Ribbon,32.53974895397489,,1.000900900900901,276.3601855920444
16,8,2.0179034769071094,Blue Open Mouth,29.347169811320757,Bloody Light,11.59016393442623,Death Ray Eye,62.71774193548387,Black Gradient,20.305483028720626,White Mesh Jacket,59.36641221374046,Light Blue Eyes,22.09375,Round Glasses,22.2836676217765,Blonde Flowy Hair,28.69741697416974,,1.8111318118304611,,1.000900900900901,261.23174170927666
17,8,2.0179034769071094,One Side Grin,33.813043478260866,Bloody Dark,29.91153846153846,Lightning Katana,81.01041666666667,Purple Gradient,15.774847870182557,Kunai Pencil,40.717277486910994,Doll Eyes,21.723463687150836,Pink Glasses,22.09375,Dark Short Wavy Hair,40.295336787564764,,1.8111318118304611,,1.000900900900901,290.1696106279136
18,9,4.631923764145325,Average Smile,35.19004524886878,Bloody Pale,40.93157894736842,Lightning Katana,81.01041666666667,Black Gradient,20.305483028720626,Android Dress,36.51173708920188,Sharp Blue Eyes,19.10810810810811,Round Glasses,22.2836676217765,Long Silver Hairclip Bangs,33.96069868995633,Devil White Horns,46.84939759036144,,1.000900900900901,341.78395765607496
19,7,3.5031531531531535,Zipped Mask,32.13636363636364,Bloody Tanline,40.505208333333336,Double Katana,28.28,White,17.55530474040632,Bleeding Heart Tee,42.966850828729285,Monochrome Eyes,35.19004524886878,,1.921195652173913,White Android Hair,47.71165644171779,,1.8111318118304611,,1.000900900900901,252.58181074747756
20,9,4.631923764145325,Soft Pink Grin,31.742857142857144,Dark,4.76824034334764,Double Katana,28.28,White,17.55530474040632,Pencil Black,45.747058823529414,Vampire Eyes,22.09375,Black Glasses,22.47687861271676,Pink Ribbon Twintails,33.52155172413793,Blood Halo,39.47715736040609,,1.000900900900901,251.29562341244753
21,9,4.631923764145325,Crescent Smile,32.40416666666667,Tanline,6.906749555950266,Blade Wings,29.68320610687023,Purple Solid,16.511677282377917,Nurse,79.35714285714286,Cyberpop Eyes,35.35,Red Glasses,22.542028985507248,Light Buns,27.578014184397162,Dark Devil Wings,61.23622047244095,,1.000900900900901,317.2020307763995
22,8,2.0179034769071094,Toast,54.00694444444444,Dark,4.76824034334764,Kitty Ghosts,55.94964028776979,Dark Gradient,20.683510638297875,Bleeding Heart Tee,42.966850828729285,Shy Blue Eyes,21.483425414364643,,1.921195652173913,Blonde Ponytail,32.00411522633745,Pulled Up Goggles,114.36764705882352,,1.000900900900901,351.1703742720966
23,8,2.0179034769071094,Closed Smile Red,34.71875,Light,3.2109826589595376,Dual Saber,58.473684210526315,White,17.55530474040632,Punk Bot Shirt,54.00694444444444,Dark Blue Eyes,19.63888888888889,Black Glasses,22.47687861271676,Short Pink Hair,31.613821138211378,,1.8111318118304611,,1.000900900900901,246.52519088379213
24,9,4.631923764145325,Snaggle Tooth,26.633561643835616,Pale,6.167327517842982,Double Katana,28.28,GF Heart White,15.400000000000002,Crimson Kimono,80.17525773195877,Dark Blue Eyes,19.63888888888889,Grey Heart Glasses,28.07581227436823,Red Devil Braids,36.3411214953271,Devil Tooth,77.0,,1.000900900900901,323.3447942172678
25,8,2.0179034769071094,Bleed,43.44692737430167,Light,3.2109826589595376,Ghost Blade,33.96069868995633,Crimson Ripple,17.634920634920636,GM GN Fur,68.21929824561404,Jester Eyes,33.23504273504273,Red Glasses,22.542028985507248,Pink Ribbon Twintails,33.52155172413793,,1.8111318118304611,,1.000900900900901,260.6013872380786
26,8,2.0179034769071094,Red Lick,34.56444444444445,Pale,6.167327517842982,Gun,20.519788918205805,Purple Solid,16.511677282377917,Devil Hunter,37.75242718446602,Devil Red Eyes,54.38461538461539,,1.921195652173913,Blue Fishpin Hair,32.53974895397489,Black Hairband,31.108,,1.000900900900901,238.48802971590936
27,7,3.5031531531531535,Crescent Smile,32.40416666666667,Dark,4.76824034334764,AR-15,18.605263157894736,Dark Gradient,20.683510638297875,Dark Heart Maid,39.47715736040609,Doll Eyes,21.723463687150836,,1.921195652173913,Short Bangs with Earrings,30.143410852713178,,1.8111318118304611,,1.000900900900901,176.0415942245354
28,8,2.0179034769071094,Closed Smile Pink,34.10964912280702,Pale,6.167327517842982,Katana,18.002314814814813,KGF Pattern,21.542936288088644,HODL Jacket,36.51173708920188,Cute Brown Eyes,19.10810810810811,,1.921195652173913,Butterfly Hair,39.882051282051286,White Devil Wings,52.19463087248322,,1.000900900900901,232.45875512537987
29,7,3.5031531531531535,Snaggle Tooth,26.633561643835616,Dark,4.76824034334764,Dual Saber,58.473684210526315,White,17.55530474040632,Quinn Dress,24.84664536741214,Pink Eyes,22.6734693877551,,1.921195652173913,Red Ring Ponytail,33.52155172413793,,1.8111318118304611,,1.000900900900901,196.70883893547946
30,7,3.5031531531531535,uwu,26.633561643835616,Bloody Light,11.59016393442623,Chainsaw,18.34198113207547,Dark Gradient,20.683510638297875,White Star Dress,55.94964028776979,Cute Angry Eyes,20.794117647058822,,1.921195652173913,Long Silver Hairclip Bangs,33.96069868995633,,1.8111318118304611,,1.000900900900901,196.19005549147852
31,8,2.0179034769071094,Zipped Mask,32.13636363636364,Dark,4.76824034334764,Gatling Gun,21.365384615384617,KGF Pattern,21.542936288088644,All-seeing Hoodie,94.84146341463415,Shy Blue Eyes,21.483425414364643,Round Glasses,22.2836676217765,Dark Flowy Buns,28.48717948717949,,1.8111318118304611,,1.000900900900901,251.7385970107778
32,9,4.631923764145325,Crescent Smile,32.40416666666667,Tanline,6.906749555950266,Chosen Sword,51.16447368421053,White KGF Pattern,15.130350194552527,Red Tie Uniform,47.71165644171779,Jester Eyes,33.23504273504273,Round Glasses,22.2836676217765,Dark Devil Braids,40.505208333333336,Oni Horns,72.6822429906542,,1.000900900900901,327.65638288895076
33,9,4.631923764145325,Lip Bite Red,30.86111111111111,Bloody Dark,29.91153846153846,Syringe,68.21929824561404,White Hole,17.05482456140351,Agent Outfit,42.73076923076923,Vampire Eyes,22.09375,Black Glasses,22.47687861271676,Pink Ribbon Twintails,33.52155172413793,Crimson Mouse,172.82222222222222,,1.000900900900901,445.32476883455945
34,8,2.0179034769071094,Open Smile Red Vamp,26.633561643835616,Pale,6.167327517842982,Double Katana,28.28,GF Heart White,15.400000000000002,White Turtleneck,37.03333333333333,Cute Dark Eyes,21.84550561797753,Pink Glasses,22.09375,Short Bangs with Earrings,30.143410852713178,,1.8111318118304611,,1.000900900900901,192.42682515534108
35,8,2.0179034769071094,Blue Open Mouth,29.347169811320757,Dark,4.76824034334764,Samurai Bow,58.037313432835816,Dark Gradient,20.683510638297875,Quinn Dress,24.84664536741214,Light Blue Eyes,22.09375,Eye Patch White,30.027027027027028,Purple Ponytail,33.0936170212766,,1.8111318118304611,,1.000900900900901,227.7272098311563
36,7,3.5031531531531535,X Mask,39.67857142857143,Dark,4.76824034334764,Feather Wings,24.379310344827587,KGF Pattern,21.542936288088644,Red Heart Dress,55.55,Cute Brown Eyes,19.10810810810811,,1.921195652173913,Pink Punk Hair,38.691542288557216,,1.8111318118304611,,1.000900900900901,211.955090319559
37,7,3.5031531531531535,Closed Smile Pink,34.10964912280702,Pale,6.167327517842982,Kitty Ghosts,55.94964028776979,GF Heart White,15.400000000000002,Red Tie Uniform,47.71165644171779,Cute Angry Eyes,20.794117647058822,,1.921195652173913,Red Devil Braids,36.3411214953271,,1.8111318118304611,,1.000900900900901,224.70989403058192
38,9,4.631923764145325,Lip Bite Pink,34.10964912280702,Bloody Light,11.59016393442623,Death Ray Eye,62.71774193548387,Purple Gradient,15.774847870182557,Agent Outfit,42.73076923076923,Heterochromia,26.185185185185183,Eye Patch White,30.027027027027028,Dark Devil Braids,40.505208333333336,Messiah Crown,69.4375,,1.000900900900901,338.71091730426065
39,8,2.0179034769071094,Demon Mask,51.16447368421053,Light,3.2109826589595376,Double Katana,28.28,Crimson Hole,21.190735694822887,Dark Heart Maid,39.47715736040609,Monochrome Eyes,35.19004524886878,Red Glasses,22.542028985507248,Long Silver Hairclip Bangs,33.96069868995633,,1.8111318118304611,,1.000900900900901,239.84605851236984
40,8,2.0179034769071094,Smooch Lips,34.41150442477876,Bloody Light,11.59016393442623,Chainsaw,18.34198113207547,Crimson Explosion,19.155172413793103,Z Jacket,42.49726775956284,Dark Blue Eyes,19.63888888888889,,1.921195652173913,Pink Punk Hair,38.691542288557216,Death Queen,59.36641221374046,,1.000900900900901,248.63293308580486
41,8,2.0179034769071094,Open Smile,32.81434599156118,Tanline,6.906749555950266,Gun,20.519788918205805,White Hole,17.05482456140351,Pilot Dress,45.747058823529414,Shy Blue Eyes,21.483425414364643,Black Glasses,22.47687861271676,Butterfly Hair,39.882051282051286,,1.8111318118304611,,1.000900900900901,211.7150593494213
42,8,2.0179034769071094,Lip Bite Red,30.86111111111111,Dark,4.76824034334764,Magic Heart Wand,52.19463087248322,Grey Gradient,15.21917808219178,Messy Student,43.69101123595506,Vampire Eyes,22.09375,Grey Heart Glasses,28.07581227436823,Pink Flowy Hair,41.588235294117645,,1.8111318118304611,,1.000900900900901,243.32190540321312
43,9,4.631923764145325,Smooch Lips,34.41150442477876,Dark,4.76824034334764,Syringe,68.21929824561404,White,17.55530474040632,Samurai,77.77,Psycho Eyes,38.122549019607845,Shades,29.347169811320757,Red Ring Ponytail,33.52155172413793,Red Ribbon,32.53974895397489,,1.000900900900901,341.8881919282344
44,7,3.5031531531531535,Soft Pink Grin,31.742857142857144,Light,3.2109826589595376,Golden Wings,109.53521126760565,Crimson Hole,21.190735694822887,White Star Dress,55.94964028776979,Cute Brown Eyes,19.10810810810811,,1.921195652173913,Blonde Flowy Hair,28.69741697416974,,1.8111318118304611,,1.000900900900901,277.6713336523513
45,8,2.0179034769071094,Toast,54.00694444444444,Bloody Pale,40.93157894736842,Devil Wings,34.874439461883405,Pink Gradient,19.589420654911837,Dark Heart Maid,39.47715736040609,Shy Blue Eyes,21.483425414364643,VR,71.34862385321101,Blonde Flowy Hair,28.69741697416974,,1.8111318118304611,,1.000900900900901,315.2389433003981
46,8,2.0179034769071094,Vampire Cute Grin,29.68320610687023,Light,3.2109826589595376,Devil Wings,34.874439461883405,GF Heart White,15.400000000000002,Quinn Dress,24.84664536741214,Cute Dark Eyes,21.84550561797753,Round Glasses,22.2836676217765,Mecha Pilot Twintails,48.60625,,1.8111318118304611,,1.000900900900901,205.58063302451777
47,8,2.0179034769071094,Open Smile Red Vamp,26.633561643835616,Light,3.2109826589595376,Dual Wield,45.47953216374269,Crimson Ripple,17.634920634920636,Agent Outfit,42.73076923076923,Psycho Eyes,38.122549019607845,,1.921195652173913,Twin Ponytails,48.60625,Silver Halo,32.13636363636364,,1.000900900900901,259.4949290181811
48,8,2.0179034769071094,Lip Bite Pink,34.10964912280702,Dark,4.76824034334764,Devil Wings,34.874439461883405,Pink Gradient,19.589420654911837,Pink Student,39.882051282051286,Closed,18.17056074766355,,1.921195652173913,Long Silver Hairclip Bangs,33.96069868995633,Devil White Horns,46.84939759036144,,1.000900900900901,237.14445792296442
49,7,3.5031531531531535,Open Smile Red Vamp,26.633561643835616,Bloody Light,11.59016393442623,Katana,18.002314814814813,White KGF Pattern,15.130350194552527,Grey Hoodie,41.36702127659575,Devil Pink Eyes,53.26712328767123,,1.921195652173913,Red Short Bangs,65.3529411764706,,1.8111318118304611,,1.000900900900901,239.57985784642514
50,9,4.631923764145325,Vampire Cute Grin,29.68320610687023,Bloody Dark,29.91153846153846,Red Rocket,32.00411522633745,Pink Gradient,19.589420654911837,Black Zipper Top,40.295336787564764,Vampire Eyes,22.09375,Red Glasses,22.542028985507248,Dark Short Wavy Hair,40.295336787564764,White Devil Wings,52.19463087248322,,1.000900900900901,294.2421885478242
51,9,4.631923764145325,uwu,26.633561643835616,Tanline,6.906749555950266,Chosen Sword,51.16447368421053,Purple Solid,16.511677282377917,Dark Heart Maid,39.47715736040609,Pink Eyes,22.6734693877551,Scouter,57.18382352941176,Dreadlock Hair,119.64615384615384,Black Ribbon,27.974820143884894,,1.000900900900901,373.8047110990322
52,8,2.0179034769071094,Red Lick,34.56444444444445,Tanline,6.906749555950266,Gatling Gun,21.365384615384617,Grey Gradient,15.21917808219178,GM GN Fur,68.21929824561404,White Glow Eyes,38.885,Black Glasses,22.47687861271676,Mecha Pilot Twintails,48.60625,,1.8111318118304611,,1.000900900900901,261.07311974594035
53,8,2.0179034769071094,One Side Grin,33.813043478260866,Pale,6.167327517842982,Devil Spears,37.75242718446602,Black Gradient,20.305483028720626,Grey Hoodie,41.36702127659575,Pink Eyes,22.6734693877551,Eye Patch White,30.027027027027028,Neko Hair,50.174193548387095,,1.8111318118304611,,1.000900900900901,247.1099286386939
54,8,2.0179034769071094,One Side Grin,33.813043478260866,Light,3.2109826589595376,Katana,18.002314814814813,White,17.55530474040632,Devil Hunter Jacket,65.3529411764706,Devil Red Eyes,54.38461538461539,Eye Patch White,30.027027027027028,Red Devil Braids,36.3411214953271,,1.8111318118304611,,1.000900900900901,263.5172869655201
55,8,2.0179034769071094,Closed Smile Red,34.71875,Tanline,6.906749555950266,Butterfly Effect,81.01041666666667,Grey Gradient,15.21917808219178,Samurai,77.77,Cute Angry Eyes,20.794117647058822,Grey Heart Glasses,28.07581227436823,Purple Ponytail,33.0936170212766,,1.8111318118304611,,1.000900900900901,302.4185774371508
56,7,3.5031531531531535,Silver Cybermask,68.82300884955752,Light,3.2109826589595376,Devil Scythe,62.216,White Hole,17.05482456140351,Pink Student,39.882051282051286,Dark Glow Eyes,42.49726775956284,,1.921195652173913,Long Dark Hair,40.505208333333336,,1.8111318118304611,,1.000900900900901,282.42572496292644
57,8,2.0179034769071094,Tongue out,44.44,Light,3.2109826589595376,Chainsaw,18.34198113207547,Dark Gradient,20.683510638297875,Red Mekanizer Armor,91.49411764705883,Sharp Blue Eyes,19.10810810810811,,1.921195652173913,Blue Fade Hair,30.86111111111111,Red Mekanizer Hat,92.58333333333333,,1.000900900900901,325.66314465892617
58,8,2.0179034769071094,Red Lick,34.56444444444445,Bloody Tanline,40.505208333333336,Devil Spears,37.75242718446602,White KGF Pattern,15.130350194552527,Pink Student,39.882051282051286,Cute Dark Eyes,21.84550561797753,VR,71.34862385321101,Dark Devil Braids,40.505208333333336,,1.8111318118304611,,1.000900900900901,306.36375543300795
59,9,4.631923764145325,Lip Bite Red,30.86111111111111,Tanline,6.906749555950266,Sayanaura,50.830065359477125,Dark Gradient,20.683510638297875,Punk Bot Shirt,54.00694444444444,Shy Blue Eyes,21.483425414364643,Scouter,57.18382352941176,Pink Ribbon Twintails,33.52155172413793,Crimson Mouse,172.82222222222222,,1.000900900900901,453.93222866446354
60,8,2.0179034769071094,Shark Smile,39.47715736040609,Light,3.2109826589595376,AR-15,18.605263157894736,White,17.55530474040632,Android Dress,36.51173708920188,Spiral Prism Eyes,32.00411522633745,,1.921195652173913,Long Blue Hairclip Bangs,40.295336787564764,Red Ribbon,32.53974895397489,,1.000900900900901,225.13964600472758
61,7,3.5031531531531535,Red Lick,34.56444444444445,Pale,6.167327517842982,Chainsaw,18.34198113207547,Dark Gradient,20.683510638297875,Nurse,79.35714285714286,Vampire Eyes,22.09375,,1.921195652173913,Short Pink Hair,31.613821138211378,,1.8111318118304611,,1.000900900900901,221.05835924607342
62,8,2.0179034769071094,Closed Smile Pink,34.10964912280702,Dark,4.76824034334764,Sayanaura,50.830065359477125,Crimson Ripple,17.634920634920636,Saber Suit,58.037313432835816,Doll Eyes,21.723463687150836,,1.921195652173913,Blue Fishpin Hair,32.53974895397489,Pulled Up Goggles,114.36764705882352,,1.000900900900901,338.95104862331937
63,8,2.0179034769071094,Toast,54.00694444444444,Light,3.2109826589595376,Double Katana,28.28,Crimson Ripple,17.634920634920636,Nyan Kitty,36.17209302325581,Pink Eyes,22.6734693877551,,1.921195652173913,Short Pink Hair,31.613821138211378,Black Ribbon,27.974820143884894,,1.000900900900901,226.50705146141368
64,8,2.0179034769071094,Bubblegum,42.49726775956284,Bloody Dark,29.91153846153846,Floating Knives,60.7578125,White Hole,17.05482456140351,Kunai Pencil,40.717277486910994,Heterochromia,26.185185185185183,Scouter,57.18382352941176,Rockstar Hair,93.69879518072288,,1.8111318118304611,,1.000900900900901,372.8364608543741
65,9,4.631923764145325,Ninja Headband,70.7,Dark,4.76824034334764,Spirit Fire,24.68888888888889,Crimson Explosion,19.155172413793103,White Turtleneck,37.03333333333333,Shy Light Blue,25.006430868167204,Red Glasses,22.542028985507248,Long Dark Bangs,27.38380281690141,White Devil Wings,52.19463087248322,,1.000900900900901,289.10535318746827
66,8,2.0179034769071094,Dark Frown,29.127340823970037,Dark,4.76824034334764,Vampblade,67.04310344827586,Crimson Hole,21.190735694822887,Grey Hoodie,41.36702127659575,Vampire Eyes,22.09375,Round Glasses,22.2836676217765,Light Buns,27.578014184397162,,1.8111318118304611,,1.000900900900901,240.28180958282425
67,7,3.5031531531531535,Blue Open Mouth,29.347169811320757,Light,3.2109826589595376,Spectral Pink Blades,72.6822429906542,KGF Pattern,21.542936288088644,Trigger Happy,109.53521126760565,Spiral Prism Eyes,32.00411522633745,,1.921195652173913,Blue Fade Hair,30.86111111111111,,1.8111318118304611,,1.000900900900901,307.42015087213576
68,9,4.631923764145325,Snaggle Tooth,26.633561643835616,Light,3.2109826589595376,Dual Wield,45.47953216374269,Dark Gradient,20.683510638297875,Pencil Black,45.747058823529414,Pink Eyes,22.6734693877551,Pink Glasses,22.09375,Dark Hairclip Bangs,32.6764705882353,Silver Halo,32.13636363636364,,1.000900900900901,256.9675242057654
69,8,2.0179034769071094,One Side Grin,33.813043478260866,Dark,4.76824034334764,Double Katana,28.28,GF Heart Invert,17.960739030023095,Racer Blue,96.01234567901234,Cute Angry Eyes,20.794117647058822,Scouter,57.18382352941176,Short Bangs with Earrings,30.143410852713178,,1.8111318118304611,,1.000900900900901,293.78565674946617
70,9,4.631923764145325,Blue Lick,28.69741697416974,Bloody Light,11.59016393442623,Dual Saber,58.473684210526315,Purple Gradient,15.774847870182557,Pilot Dress,45.747058823529414,White Glow Eyes,38.885,Android Eyemask,33.23504273504273,Blue Fade Hair,30.86111111111111,Black Ribbon,27.974820143884894,,1.000900900900901,296.87197046791914
71,8,2.0179034769071094,One Side Grin,33.813043478260866,Light,3.2109826589595376,AR-15,18.605263157894736,Crimson Gradient,23.077151335311573,HODL Jacket,36.51173708920188,Pink Eyes,22.6734693877551,,1.921195652173913,Maniac Hair,94.84146341463415,Devil Red Horns,62.71774193548387,,1.000900900900901,300.3908524874836
72,8,2.0179034769071094,Open Smile Red Vamp,26.633561643835616,Bloody Light,11.59016393442623,Oniblade,58.037313432835816,Black Gradient,20.305483028720626,Devil Hunter Jacket,65.3529411764706,Dark Glow Eyes,42.49726775956284,Shades,29.347169811320757,Red Devil Braids,36.3411214953271,,1.8111318118304611,,1.000900900900901,294.9349584721381
73,8,2.0179034769071094,Ring,60.286821705426355,Dark,4.76824034334764,Spirit Fire,24.68888888888889,Black Gradient,20.305483028720626,Devil Hunter Jacket,65.3529411764706,Cute Angry Eyes,20.794117647058822,,1.921195652173913,Pink Ribbon Twintails,33.52155172413793,Crimson Mouse,172.82222222222222,,1.000900900900901,407.480266766255
74,7,3.5031531531531535,Bleed,43.44692737430167,Light,3.2109826589595376,Katana,18.002314814814813,White,17.55530474040632,Red Death,117.83333333333333,Jester Eyes,33.23504273504273,,1.921195652173913,Red Devil Braids,36.3411214953271,,1.8111318118304611,,1.000900900900901,277.8614086702439
75,9,4.631923764145325,Soft Pink Grin,31.742857142857144,Bloody Dark,29.91153846153846,Golden Wings,109.53521126760565,Grey Gradient,15.21917808219178,Black Zipper Top,40.295336787564764,Doll Eyes,21.723463687150836,Phantom Thief,39.08040201005025,Pink Ribbon Twintails,33.52155172413793,Black Ribbon,27.974820143884894,,1.000900900900901,354.63718397202786
76,7,3.5031531531531535,Dark Frown,29.127340823970037,Bloody Pale,40.93157894736842,Buster Blade,40.295336787564764,Crimson Explosion,19.155172413793103,Nyan Kitty,36.17209302325581,Jester Eyes,33.23504273504273,,1.921195652173913,Blonde Ponytail,32.00411522633745,,1.8111318118304611,,1.000900900900901,239.15706147539075
77,8,2.0179034769071094,Blue Open Mouth,29.347169811320757,Light,3.2109826589595376,Spectral Pink Blades,72.6822429906542,Black Gradient,20.305483028720626,Trigger Happy,109.53521126760565,Dark Glow Eyes,42.49726775956284,,1.921195652173913,Long Silver Bangs,37.93658536585366,Black Hairband,31.108,,1.000900900900901,351.5629429126592
78,8,2.0179034769071094,Open Smile Blue,31.23293172690763,Pale,6.167327517842982,Scissors,47.420731707317074,Purple Gradient,15.774847870182557,White Turtleneck,37.03333333333333,Shy Blue Eyes,21.483425414364643,Android Eyemask,33.23504273504273,Short Pink Hair,31.613821138211378,,1.8111318118304611,,1.000900900900901,228.79139763284073
79,9,4.631923764145325,Lip Bite Purple,31.108,Light,3.2109826589595376,Gun,20.519788918205805,KGF Pattern,21.542936288088644,Pencil Black,45.747058823529414,Cute Dark Eyes,21.84550561797753,Eye Patch White,30.027027027027028,Dark Flowy Buns,28.48717948717949,Oni Mask,38.310344827586206,,1.000900900900901,246.4316483135999
80,7,3.5031531531531535,Smooch Lips,34.41150442477876,Light,3.2109826589595376,Spirit Fire,24.68888888888889,Black Gradient,20.305483028720626,Bleeding Heart Tee,42.966850828729285,Pink Eyes,22.6734693877551,,1.921195652173913,Red Devil Braids,36.3411214953271,,1.8111318118304611,,1.000900900900901,192.83468223121773
81,9,4.631923764145325,Crescent Smile,32.40416666666667,Dark,4.76824034334764,Feather Wings,24.379310344827587,GF Heart Pink,17.243902439024392,Samurai,77.77,Vampire Eyes,22.09375,Phantom Thief,39.08040201005025,Dark Flowy Buns,28.48717948717949,Oni Mask,38.310344827586206,,1.000900900900901,290.17012078372846
82,9,4.631923764145325,One Side Grin,33.813043478260866,Light,3.2109826589595376,Blade Wings,29.68320610687023,GF Heart White,15.400000000000002,HODL Jacket,36.51173708920188,Vampire Eyes,22.09375,Grey Heart Glasses,28.07581227436823,Dark Fade Hair,36.51173708920188,Black Hairband,31.108,,1.000900900900901,242.04109336190885
